Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,3,1.0,0.29586618454941016,1968.4117647058824,6361577.470588235,2522.2167770808746,2016.0,30.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-16773111.826118326,"[-20231001.954545453, -8830623.761904761, -21257709.76190476]","[-20231001.954545453, -8830623.761904761, -21257709.76190476]","[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[651.0, 5180.0, 7854.0, 4004.0, 6783.0, 6783.0, 2583.0, 651.0, 2429.0, 8050.0, 4277.0, 5880.0, 651.0, 1876.0, 5635.0, 9100.0, 5817.0]",0:00:00.003004
1,desharnais,CART,grid search,KFold,3,0.5893207088528057,-3.1466557820692094,4117.972378516624,37463435.81669243,6120.738175799748,2082.217391304348,-315.0,"{'model__max_depth': 2, 'model__max_features': None}",-11909992.009789808,"[-14371501.018662961, -6372649.5092802, -14985825.501426263]","[-14371501.018662961, -6372649.5092802, -14985825.501426263]","[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[2537.782608695652, 4613.0, 4613.0, 2537.782608695652, 23940.0, 8914.85, 2537.782608695652, 2537.782608695652, 8914.85, 8914.85, 8914.85, 8914.85, 2537.782608695652, 2537.782608695652, 4613.0, 8914.85, 4613.0]",0:00:00.222391
1,desharnais,CART,grid search,RepeatedKFold,3,0.8606577418131034,-0.4442980089623014,2798.2848164906986,13048675.511700034,3612.295047708594,2115.076923076923,-44.0,"{'model__max_depth': 5, 'model__max_features': None}",-16202044.002976885,"[-17677271.42929293, -12392608.128906734, -30138500.707093257]","[-15518263.667613637, -12660173.28794643, -15934284.297738096, -19692540.69609817, -22860704.20846561, -21109713.409597397, -15098332.47540404, -7574828.68, -15369555.30392857]","[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[1575.0, 4936.076923076923, 7854.0, 2894.5, 10591.0, 10591.0, 2894.5, 680.5, 2352.0, 10591.0, 10591.0, 4154.5, 680.5, 2285.1111111111113, 4936.076923076923, 10591.0, 4936.076923076923]",0:00:00.320396
1,desharnais,CART,grid search,HoldOut,3,0.3947623943395401,-1.0633620414427765,3541.0980392156866,18641680.3006536,4317.601220661028,2908.0,-106.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-9849831.359508546,"[-13990984.07718668, -10663341.26721267, -21828795.808535177]",[-9849831.359508546],"[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[3503.0, 3503.0, 3503.0, 3503.0, 9630.333333333334, 9630.333333333334, 3503.0, 3503.0, 9630.333333333334, 9630.333333333334, 9630.333333333334, 9630.333333333334, 3503.0, 3503.0, 3503.0, 9630.333333333334, 3503.0]",0:00:00.055624
1,desharnais,CART,grid search,RepeatedHoldOut,3,0.8568531316148433,0.16548198555759486,2073.4176470588236,7539548.425294116,2745.8238154138944,1667.3999999999996,17.0,"{'model__max_depth': 5, 'model__max_features': 0.7}",-12987839.478668092,"[-11341554.41540404, -8751215.93372155, -25274511.872354496]","[-11948547.173162393, -13364467.873076925, -13650503.389764957]","[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[680.5, 4831.4, 4831.4, 2698.5, 6783.0, 6783.0, 2698.5, 680.5, 2352.0, 10249.4, 10249.4, 4154.5, 680.5, 2698.5, 4459.0, 10343.2, 4459.0]",0:00:00.116959
1,desharnais,CART,grid search,Bootstrap,3,0.5893207088528057,-3.1466557820692094,4117.972378516624,37463435.81669243,6120.738175799748,2082.217391304348,-315.0,"{'model__max_depth': 2, 'model__max_features': None}",-18525122.563954383,"[-14371501.018662961, -6372649.5092802, -14985825.501426263]","[-10414977.13964004, -17753549.286974516, -35609696.6104224, -18233238.231276236, -15162561.06165905, -6779873.595890788, -19008918.092029843, -14861478.176052632, -5743914.477506075, -22793410.686355654, -13389135.012234304, -10899163.66062682, -24846460.90198706, -25428002.36888107, -23628581.917478357, -24553073.24488921, -13578811.288512917, -11827697.250295859, -19081448.40527252, -17727135.805292122, -23014917.394567423, -16375797.349750064, -19661529.907411654, -34452456.46684601, -16862664.547353994, -8693560.23273956, -13721209.224891607, -9627650.102542182, -30050938.1753765, -13143306.52647425, -10821109.961111113, -17458631.641762387, -9903068.158704313, -19634424.91222562, -27407634.30613465, -19100562.74685528, -16481170.474147648, -20876899.82163743, -13345669.370843124, -19543429.54736883, -17806926.319501497, -19848197.827415876, -25258323.901520487, -9191397.397700086, -8588743.891189976, -11337159.529426107, -8117735.750111748, -11447725.601508476, -15294017.843667522, -16999705.528456073]","[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[2537.782608695652, 4613.0, 4613.0, 2537.782608695652, 23940.0, 8914.85, 2537.782608695652, 2537.782608695652, 8914.85, 8914.85, 8914.85, 8914.85, 2537.782608695652, 2537.782608695652, 4613.0, 8914.85, 4613.0]",0:00:01.348366
0,desharnais,CART,random search,,3,1.0,0.29586618454941016,1968.4117647058824,6361577.470588235,2522.2167770808746,2016.0,30.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-16773111.826118326,"[-20231001.954545453, -8830623.761904761, -21257709.76190476]","[-20231001.954545453, -8830623.761904761, -21257709.76190476]","[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[651.0, 5180.0, 7854.0, 4004.0, 6783.0, 6783.0, 2583.0, 651.0, 2429.0, 8050.0, 4277.0, 5880.0, 651.0, 1876.0, 5635.0, 9100.0, 5817.0]",0:00:00.002003
1,desharnais,CART,random search,KFold,3,0.9093115167946394,-0.2824351808224237,2213.0323529411767,11586307.2825,3403.8665194892706,843.5,-28.000000000000004,"{'model__max_depth': 6, 'model__max_features': 0.44555916400773216}",-11774778.050147505,"[-15599233.348484846, -7860104.937830688, -11864995.864126986]","[-15599233.348484846, -7860104.937830688, -11864995.864126986]","[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[710.0, 5867.75, 5726.0, 2575.0, 11222.4, 11222.4, 2575.0, 710.0, 2429.0, 11222.4, 4277.0, 5880.0, 710.0, 1267.0, 3125.5, 11222.4, 3125.5]",0:00:00.200763
1,desharnais,CART,random search,RepeatedKFold,3,0.5745277128777108,-0.725944186356178,3244.370098039216,15593240.10648466,3948.827687616245,2343.375,-73.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-15477979.69599531,"[-14371501.018662961, -5392030.532224224, -20213377.48580126]","[-10921855.43785, -13618194.070087004, -17746871.99053103, -8686371.056602966, -10528311.86560871, -29119281.373631086, -22466503.705885734, -13993531.48009725, -12220896.28366402]","[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[2901.8888888888887, 2901.8888888888887, 2901.8888888888887, 4517.375, 8914.85, 8914.85, 4517.375, 2901.8888888888887, 8914.85, 8914.85, 8914.85, 8914.85, 2901.8888888888887, 2901.8888888888887, 4517.375, 8914.85, 2901.8888888888887]",0:00:00.305372
1,desharnais,CART,random search,HoldOut,3,0.3947623943395401,-1.0633620414427765,3541.0980392156866,18641680.3006536,4317.601220661028,2908.0,-106.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-9849831.359508546,"[-13990984.07718668, -10663341.26721267, -21828795.808535177]",[-9849831.359508546],"[546.0, 3164.0, 4977.0, 4620.0, 3941.0, 3626.0, 2174.0, 847.0, 1400.0, 4494.0, 3948.0, 1435.0, 595.0, 1155.0, 2821.0, 13860.0, 2282.0]","[3503.0, 3503.0, 3503.0, 3503.0, 9630.333333333334, 9630.333333333334, 3503.0, 3503.0, 9630.333333333334, 9630.333333333334, 9630.333333333334, 9630.333333333334, 3503.0, 3503.0, 3503.0, 9630.333333333334, 3503.0]",0:00:00.059165
