Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,3,1.0,-0.10676212191220547,12003.307692307691,331376267.15384614,18203.74321819131,6388.0,-11.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-70236341.92034315,"[-42616438.823529415, -111524804.5625, -56567782.375]","[-42616438.823529415, -111524804.5625, -56567782.375]","[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[8710.0, 4224.0, 39479.0, 15052.0, 9700.0, 6816.0, 9700.0, 18500.0, 4224.0, 6816.0, 7184.0, 14000.0, 2957.0]",0:00:00.009002
1,maxwell,CART,grid search,KFold,3,0.48915956024502283,0.3941089306188903,7419.820512820514,181410184.62618744,13468.859811661396,3548.1395348837214,39.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-58516107.87449515,"[-55890669.179150335, -97711509.3622449, -21946145.08209019]","[-55890669.179150335, -97711509.3622449, -21946145.08209019]","[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[5203.860465116279, 5203.860465116279, 20527.333333333332, 20527.333333333332, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 20527.333333333332, 5203.860465116279]",0:00:02.037011
1,maxwell,CART,grid search,RepeatedKFold,3,0.48915956024502283,0.3941089306188903,7419.820512820514,181410184.62618744,13468.859811661396,3548.1395348837214,39.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-51461549.01546826,"[-55890669.179150335, -97711509.3622449, -21946145.08209019]","[-12143072.1600557, -79121372.53694445, -98876835.94593489, -92378871.10474189, -43884291.319236115, -25502429.217764057, -67364319.00667767, -33645572.707100585, -10237177.140758967]","[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[5203.860465116279, 5203.860465116279, 20527.333333333332, 20527.333333333332, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 20527.333333333332, 5203.860465116279]",0:00:00.295982
1,maxwell,CART,grid search,HoldOut,3,1.0,0.22906982460486003,10593.384615384615,230824635.84615386,15192.914001143883,5971.0,23.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-11756253.6,"[-65561572.47058824, -106813327.3125, -38974345.625]",[-11756253.6],"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[6816.0, 3850.0, 25910.0, 14000.0, 9700.0, 2826.0, 3240.0, 8117.0, 4150.0, 2826.0, 3850.0, 21272.0, 18500.0]",0:00:00.053729
1,maxwell,CART,grid search,RepeatedHoldOut,3,0.7173623985701251,0.2919399666112972,7400.492307692307,212000651.39543012,14560.242147554762,2193.8,28.999999999999996,"{'model__max_depth': 2, 'model__max_features': 0.7}",-56069475.881818295,"[-96106206.5982374, -80848379.80853175, -10700095.526463257]","[-17082403.11863466, -13012823.857979026, -138113200.66884118]","[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[3991.8, 8000.923076923077, 16737.0, 16737.0, 3991.8, 3991.8, 8000.923076923077, 3991.8, 8000.923076923077, 3991.8, 8000.923076923077, 16737.0, 3991.8]",0:00:00.121251
1,maxwell,CART,grid search,Bootstrap,3,0.48915956024502283,0.3941089306188903,7419.820512820514,181410184.62618744,13468.859811661396,3548.1395348837214,39.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-54882148.37497303,"[-55890669.179150335, -97711509.3622449, -21946145.08209019]","[-11749170.410029134, -33854421.99364229, -74631503.62590589, -20485906.783159528, -52164626.39456235, -40733534.55038288, -86403778.07506153, -95081752.71870129, -35785441.86888787, -41378757.211308755, -95035920.80910422, -40806208.65756658, -108207774.52100211, -56258698.39711119, -123380763.17417164, -40742931.72970345, -51765324.62857663, -33478918.476237025, -73462391.95806624, -32628079.721893348, -57326062.808281586, -43427147.97266544, -107505023.93228139, -48919152.428441554, -87483570.99403584, -32314789.569484938, -109609675.29064696, -31326665.415876247, -40231222.33690389, -15873550.34185606, -23156600.30635178, -24647818.110544216, -79799401.1583701, -35170475.2800072, -38976459.42636465, -94545615.17671216, -34691504.36236418, -75347678.43247734, -28804497.22885043, -27967811.058681875, -17720066.292592593, -35646830.09404464, -29016368.139350973, -48235917.740171716, -54291094.81610933, -11870362.052420966, -40401100.946702614, -21076893.263445266, -63809684.541999996, -24537666.78477975]","[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[5203.860465116279, 5203.860465116279, 20527.333333333332, 20527.333333333332, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 20527.333333333332, 5203.860465116279]",0:00:01.294861
0,maxwell,CART,random search,,3,1.0,-0.10676212191220547,12003.307692307691,331376267.15384614,18203.74321819131,6388.0,-11.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-70236341.92034315,"[-42616438.823529415, -111524804.5625, -56567782.375]","[-42616438.823529415, -111524804.5625, -56567782.375]","[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[8710.0, 4224.0, 39479.0, 15052.0, 9700.0, 6816.0, 9700.0, 18500.0, 4224.0, 6816.0, 7184.0, 14000.0, 2957.0]",0:00:00.002000
1,maxwell,CART,random search,KFold,3,0.9156740855775699,0.2215970791064421,8608.52564102564,233062054.76357943,15266.370058516839,2996.0,22.0,"{'model__max_depth': 4, 'model__max_features': 0.959541228979397}",-53991851.7771649,"[-47220980.5268135, -96564039.20605469, -18190535.5986265]","[-47220980.5268135, -96564039.20605469, -18190535.5986265]","[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[3088.96, 3746.6666666666665, 7451.0, 16774.666666666668, 3088.96, 4886.5, 3746.6666666666665, 18500.0, 3746.6666666666665, 4886.5, 3746.6666666666665, 16774.666666666668, 4886.5]",0:00:00.210228
1,maxwell,CART,random search,RepeatedKFold,3,0.48915956024502283,0.3941089306188903,7419.820512820514,181410184.62618744,13468.859811661396,3548.1395348837214,39.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-51461549.01546826,"[-55890669.179150335, -97711509.3622449, -21946145.08209019]","[-12143072.1600557, -79121372.53694445, -98876835.94593489, -92378871.10474189, -43884291.319236115, -25502429.217764057, -67364319.00667767, -33645572.707100585, -10237177.140758967]","[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[5203.860465116279, 5203.860465116279, 20527.333333333332, 20527.333333333332, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 5203.860465116279, 20527.333333333332, 5203.860465116279]",0:00:00.314327
1,maxwell,CART,random search,HoldOut,3,1.0,0.22906982460486003,10593.384615384615,230824635.84615386,15192.914001143883,5971.0,23.0,"{'model__max_depth': 29, 'model__max_features': 0.7177951105625409}",-11756253.6,"[-65561572.47058824, -106813327.3125, -38974345.625]",[-11756253.6],"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[6816.0, 3850.0, 25910.0, 14000.0, 9700.0, 2826.0, 3240.0, 8117.0, 4150.0, 2826.0, 3850.0, 21272.0, 18500.0]",0:00:00.070844
