Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,miyazaki94,CART,grid search,,3,1.0,-0.5776377433805766,24.644444444444446,1127.72,33.58154254944225,14.700000000000003,-57.99999999999999,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-815.1418181818184,"[-1095.8836363636367, -710.6654545454545, -638.8763636363636]","[-1095.8836363636367, -710.6654545454545, -638.8763636363636]","[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[52.0, 18.0, 34.3, 85.0, 48.0, 31.5, 7.5, 29.0, 18.0]",0:00:00.001998
1,miyazaki94,CART,grid search,KFold,3,0.6667648045735712,-0.09633422141531467,21.41111111111111,783.6767555555556,27.994227182680998,13.420000000000002,-10.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-470.9935710532345,"[-380.26483593329743, -739.5885795454546, -293.1272976809515]","[-380.26483593329743, -739.5885795454546, -293.1272976809515]","[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[44.92, 19.4, 44.92, 44.92, 44.92, 44.92, 19.4, 44.92, 44.92]",0:00:00.214207
1,miyazaki94,CART,grid search,RepeatedKFold,3,0.775850457419749,0.29157788264813567,15.792962962962962,506.3911493827159,22.503136434344345,13.950000000000003,28.999999999999996,"{'model__max_depth': 2, 'model__max_features': None}",-499.47699608736286,"[-274.30181818181813, -674.3865285264186, -811.7999873737376]","[-90.32002502991514, -582.839087569914, -509.09108998144717, -840.0133065517718, -336.11723938767835, -295.10333333333335, -164.99624646464648, -950.79413724017, -726.0184992273896]","[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 8.366666666666667, 25.72, 46.650000000000006]",0:00:00.271708
1,miyazaki94,CART,grid search,HoldOut,3,0.775850457419749,0.29157788264813567,15.792962962962962,506.3911493827159,22.503136434344345,13.950000000000003,28.999999999999996,"{'model__max_depth': 2, 'model__max_features': None}",-93.34279365079364,"[-274.30181818181813, -674.3865285264186, -811.7999873737376]",[-93.34279365079364],"[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 8.366666666666667, 25.72, 46.650000000000006]",0:00:00.053996
1,miyazaki94,CART,grid search,RepeatedHoldOut,3,0.775850457419749,0.29157788264813567,15.792962962962962,506.3911493827159,22.503136434344345,13.950000000000003,28.999999999999996,"{'model__max_depth': 2, 'model__max_features': None}",-416.5397439206083,"[-274.30181818181813, -674.3865285264186, -811.7999873737376]","[-93.34279365079364, -955.5443551668286, -200.73208294420263]","[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 8.366666666666667, 25.72, 46.650000000000006]",0:00:00.104487
1,miyazaki94,CART,grid search,Bootstrap,3,0.775850457419749,0.29157788264813567,15.792962962962962,506.3911493827159,22.503136434344345,13.950000000000003,28.999999999999996,"{'model__max_depth': 2, 'model__max_features': None}",-590.7677442891737,"[-274.30181818181813, -674.3865285264186, -811.7999873737376]","[-1305.251287626962, -556.5598422261351, -578.1830937295392, -73.970015, -942.8123437499997, -234.44392024518135, -851.7834024999999, -291.26181344696954, -677.5946088154269, -332.21077187500003, -983.2035601139603, -832.2858703703702, -361.07958210459987, -407.45189604633595, -610.008613679381, -545.1735969543923, -470.97950923226426, -720.5907334183673, -733.6849147727272, -657.5588778409091, -456.8515025878139, -435.9905601139601, -723.9901576923077, -277.8998191550926, -533.3860524655712, -284.69089999999994, -712.6993906250002, -710.9480272000001, -323.4951262682767, -241.43486652696785, -1374.4673325968565, -629.2893383333334, -247.34042661609112, -993.1910281635802, -209.6268480725623, -621.5357671745868, -188.01068698182385, -861.9759615384615, -1342.332315307844, -234.72765358730157, -838.8400162636666, -947.8689614898991, -822.9452181440441, -1491.1015445109153, -967.0050625, -322.82936187269524, -715.0452785714286, -98.20740052300302, -1039.9893110445234, -88.82802209767875]","[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 8.366666666666667, 25.72, 46.650000000000006]",0:00:01.106479
0,miyazaki94,CART,random search,,3,1.0,-0.5776377433805766,24.644444444444446,1127.72,33.58154254944225,14.700000000000003,-57.99999999999999,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-815.1418181818184,"[-1095.8836363636367, -710.6654545454545, -638.8763636363636]","[-1095.8836363636367, -710.6654545454545, -638.8763636363636]","[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[52.0, 18.0, 34.3, 85.0, 48.0, 31.5, 7.5, 29.0, 18.0]",0:00:00.001999
1,miyazaki94,CART,random search,KFold,3,0.6667648045735712,-0.09633422141531467,21.41111111111111,783.6767555555556,27.994227182680998,13.420000000000002,-10.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-470.9935710532345,"[-380.26483593329743, -739.5885795454546, -293.1272976809515]","[-380.26483593329743, -739.5885795454546, -293.1272976809515]","[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[44.92, 19.4, 44.92, 44.92, 44.92, 44.92, 19.4, 44.92, 44.92]",0:00:00.109117
1,miyazaki94,CART,random search,RepeatedKFold,3,0.7588906862945558,0.2728777960586365,17.116666666666667,519.7582621671257,22.798207433198026,13.950000000000003,27.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-546.0652667838848,"[-285.7822820037106, -674.3865285264186, -768.462556818182]","[-90.32002502991514, -661.6456466003006, -509.09108998144694, -840.0133065517718, -413.35455959595964, -295.1033333333334, -164.99624646464653, -1334.168080808081, -605.8951126895082]","[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 16.254545454545454, 16.254545454545454, 46.650000000000006]",0:00:00.240632
1,miyazaki94,CART,random search,HoldOut,3,0.7588906862945558,0.2728777960586365,17.116666666666667,519.7582621671257,22.798207433198026,13.950000000000003,27.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-93.34279365079364,"[-285.7822820037106, -674.3865285264186, -768.462556818182]",[-93.34279365079364],"[31.5, 67.3, 27.5, 43.8, 37.1, 103.5, 7.1, 23.0, 32.7]","[46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 46.650000000000006, 16.254545454545454, 16.254545454545454, 46.650000000000006]",0:00:00.105787
