Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,nasa93,CART,grid search,,3,1.0,-0.3260814852829148,832.6894736842105,1346144.3099999998,1160.2345926578814,321.6,-33.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-2289460.950111111,"[-4046634.364400001, -2211286.5476, -610461.9383333334]","[-4046634.364400001, -2211286.5476, -610461.9383333334]","[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[352.8, 1368.0, 409.0, 2120.0, 2120.0, 192.0, 1368.0, 1772.5, 432.0, 2120.0, 252.0, 48.0, 352.8, 600.0, 36.0, 10.8, 352.8, 300.0, 82.0]",0:00:00.003000
1,nasa93,CART,grid search,KFold,3,0.48187097660722567,0.6892747190922539,377.8440732265446,315426.3697286107,561.6283199132774,300.10144927536237,69.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-1857428.1397181123,"[-2691859.966202988, -2096905.3855207928, -783519.0674305557]","[-2691859.966202988, -2096905.3855207928, -783519.0674305557]","[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 3622.78, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234]",0:00:00.266109
1,nasa93,CART,grid search,RepeatedKFold,3,0.48187097660722567,0.6892747190922539,377.8440732265446,315426.3697286107,561.6283199132774,300.10144927536237,69.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-1055679.2453303523,"[-2691859.966202988, -2096905.3855207928, -783519.0674305557]","[-488091.04904340743, -1638936.5568367147, -906522.5327994791, -1299000.9079592123, -293141.9701602988, -763483.1009239131, -3110041.051422449, -392857.60783585184, -609038.4309918479]","[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 3622.78, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234]",0:00:00.394374
1,nasa93,CART,grid search,HoldOut,3,0.48187097660722567,0.6892747190922539,377.8440732265446,315426.3697286107,561.6283199132774,300.10144927536237,69.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-478114.6459266666,"[-2691859.966202988, -2096905.3855207928, -783519.0674305557]",[-478114.6459266666],"[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 3622.78, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234]",0:00:00.075189
1,nasa93,CART,grid search,RepeatedHoldOut,3,0.48187097660722567,0.6892747190922539,377.8440732265446,315426.3697286107,561.6283199132774,300.10144927536237,69.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-2100689.062607012,"[-2691859.966202988, -2096905.3855207928, -783519.0674305557]","[-478114.6459266666, -2209626.907485733, -3614325.6344086365]","[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 3622.78, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234]",0:00:00.150530
1,nasa93,CART,grid search,Bootstrap,3,0.48187097660722567,0.6892747190922539,377.8440732265446,315426.3697286107,561.6283199132774,300.10144927536237,69.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-1452153.9656868174,"[-2691859.966202988, -2096905.3855207928, -783519.0674305557]","[-1798400.6269575865, -262721.5292411164, -223980.2444865612, -2096492.2535869423, -546050.3332300565, -1146425.3881995236, -2830430.85449685, -871409.2869470958, -1428492.8896630036, -137394.10835862072, -321457.1121814834, -1334315.531762733, -526170.3742796726, -901616.2242838246, -292972.65098765434, -1364839.0712418207, -853669.6241646773, -2635788.572683683, -768972.4763704732, -2214058.809351852, -156925.5756345562, -642700.868958093, -2563088.9120443696, -929989.3561413042, -2825978.9729734245, -2629184.1572708334, -880240.2799427657, -1402348.2085488325, -595030.5249497645, -3832090.9775076364, -1153867.3427747923, -253646.18811957966, -2510815.2248419756, -2352404.35782872, -895957.3268846212, -1000909.3830744132, -1314164.1349393653, -1946555.6821696905, -1401813.246136822, -612733.1672171876, -3489029.992524159, -655054.6736767397, -1650666.6956585408, -2218645.2338899663, -224042.21372637048, -2236109.3102734815, -3219534.4244075, -2167564.073665154, -1763735.9571672694, -344182.6007802384]","[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 3622.78, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234]",0:00:01.627116
0,nasa93,CART,random search,,3,1.0,-0.3260814852829148,832.6894736842105,1346144.3099999998,1160.2345926578814,321.6,-33.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-2289460.950111111,"[-4046634.364400001, -2211286.5476, -610461.9383333334]","[-4046634.364400001, -2211286.5476, -610461.9383333334]","[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[352.8, 1368.0, 409.0, 2120.0, 2120.0, 192.0, 1368.0, 1772.5, 432.0, 2120.0, 252.0, 48.0, 352.8, 600.0, 36.0, 10.8, 352.8, 300.0, 82.0]",0:00:00.002019
1,nasa93,CART,random search,KFold,3,0.7975652287194529,0.5546955905228834,402.9872672064777,452041.6005262612,672.3403903725115,232.9138461538462,55.00000000000001,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-2144639.4108558474,"[-3746580.989988751, -2258075.845228445, -429261.3973503466]","[-3746580.989988751, -2258075.845228445, -429261.3973503466]","[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 2475.725, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462, 350.5138461538462]",0:00:00.166716
1,nasa93,CART,random search,RepeatedKFold,3,0.5975044279163915,0.4302672515481798,424.4842105263158,578352.4663157894,760.4948825046683,247.70000000000002,43.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-1136434.1610319272,"[-5103976.2828181125, -1813259.9310682775, -783285.6052957597]","[-666622.257983471, -2088221.3177730034, -769885.9324786008, -1851169.9695281666, -861565.6753333333, -514227.5808752465, -2459268.726745663, -186654.21785599994, -830291.7707138608]","[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[365.3, 365.3, 694.0, 365.3, 365.3, 365.3, 365.3, 1848.5, 365.3, 365.3, 365.3, 365.3, 365.3, 365.3, 365.3, 365.3, 365.3, 365.3, 365.3]",0:00:00.402165
1,nasa93,CART,random search,HoldOut,3,0.48187097660722567,0.6892747190922539,377.8440732265446,315426.3697286107,561.6283199132774,300.10144927536237,69.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-478114.6459266666,"[-2691859.966202988, -2996169.5566460066, -783519.0674305557]",[-478114.6459266666],"[31.2, 162.0, 703.0, 360.0, 360.0, 2400.0, 150.0, 4178.2, 240.0, 72.0, 1181.0, 42.0, 117.6, 97.0, 215.0, 8.4, 117.6, 300.0, 400.0]","[417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 3622.78, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234, 417.70144927536234]",0:00:00.080592
