Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,5,1.0,0.4765989290295054,2198.176470588235,15904610.764705881,3988.0585207223176,1029.0,48.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-19536965.766666666,"[-38908220.07692308, -15181218.923076924, -6207436.846153846, -31070979.153846152, -6316973.833333333]","[-38908220.07692308, -15181218.923076924, -6207436.846153846, -31070979.153846152, -6316973.833333333]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[7854.0, 14434.0, 840.0, 23940.0, 14434.0, 2989.0, 3542.0, 2149.0, 1575.0, 1575.0, 3829.0, 5180.0, 14434.0, 3276.0, 2989.0, 3927.0, 2520.0]",0:00:00.002968
1,desharnais,CART,grid search,KFold,5,0.5254070835201357,-0.1660092675538689,3817.4836601307193,35431573.56193012,5952.442655072799,1725.1111111111113,-17.0,"{'model__max_depth': 2, 'model__max_features': None}",-13644968.336051375,"[-24865397.89604326, -22303564.474620726, -7840114.782974644, -9304285.790692316, -3911478.735925926]","[-24865397.89604326, -22303564.474620726, -7840114.782974644, -9304285.790692316, -3911478.735925926]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[5897.111111111111, 5897.111111111111, 5897.111111111111, 23940.0, 5897.111111111111, 2611.3703703703704, 5897.111111111111, 2611.3703703703704, 2611.3703703703704, 2611.3703703703704, 5897.111111111111, 5897.111111111111, 5897.111111111111, 2611.3703703703704, 2611.3703703703704, 5897.111111111111, 2611.3703703703704]",0:00:00.271277
1,desharnais,CART,grid search,RepeatedKFold,5,0.5254070835201357,-0.1660092675538689,3817.4836601307193,35431573.56193012,5952.442655072799,1725.1111111111113,-17.0,"{'model__max_depth': 2, 'model__max_features': None}",-13432493.304057796,"[-24865397.89604326, -22303564.474620726, -7840114.782974644, -9304285.790692316, -3911478.735925926]","[-25048970.001816235, -16605580.387551198, -13224249.09364187, -5546472.507460022, -7728946.094135802, -8230095.156179504, -5150782.0471254205, -25203255.06151042, -21020262.974890787, -9872216.365885416, -24506389.32895387, -5406147.392628204, -22478811.907942653, -5979490.991196581, -5485730.249948985]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[5897.111111111111, 5897.111111111111, 5897.111111111111, 23940.0, 5897.111111111111, 2611.3703703703704, 5897.111111111111, 2611.3703703703704, 2611.3703703703704, 2611.3703703703704, 5897.111111111111, 5897.111111111111, 5897.111111111111, 2611.3703703703704, 2611.3703703703704, 5897.111111111111, 2611.3703703703704]",0:00:00.410210
1,desharnais,CART,grid search,HoldOut,5,1.0,0.4765989290295054,2198.176470588235,15904610.764705881,3988.0585207223176,1029.0,48.0,"{'model__max_depth': None, 'model__max_features': None}",-22410674.615384616,"[-38908220.07692308, -15181218.923076924, -6207436.846153846, -31070979.153846152, -6316973.833333333]",[-22410674.615384616],"[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[7854.0, 14434.0, 840.0, 23940.0, 14434.0, 2989.0, 3542.0, 2149.0, 1575.0, 1575.0, 3829.0, 5180.0, 14434.0, 3276.0, 2989.0, 3927.0, 2520.0]",0:00:00.053940
1,desharnais,CART,grid search,RepeatedHoldOut,5,0.8877541245889602,0.5389138544534511,2784.559523809524,14011044.45644091,3743.13297338485,1898.7142857142858,54.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-13535239.675274834,"[-35852869.045584045, -39621847.75, -13166502.10963007, -6498742.903369358, -3729012.173703704]","[-22986039.853766028, -3318540.7005188894, -15512713.422516618, -9099449.803418804, -16759454.596153846]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[14434.0, 10577.0, 2558.5, 8386.0, 10230.5, 1932.0, 2558.5, 5388.25, 2444.714285714286, 2444.714285714286, 5388.25, 10577.0, 10577.0, 1481.6666666666667, 4317.25, 2558.5, 2558.5]",0:00:00.168237
1,desharnais,CART,grid search,Bootstrap,5,0.5238423997493757,0.23947657858959037,3425.8176470588232,23110057.785221495,4807.292146855805,2470.2,24.0,"{'model__max_depth': 2, 'model__max_features': 0.3}",-16639965.685911024,"[-23557455.89862873, -22303564.474620726, -7840114.782974644, -9865225.786969291, -6069813.803990667]","[-13832637.03126316, -16857806.403125927, -20972959.913901407, -26639884.93370351, -6790549.856096938, -10812075.052528655, -13130073.525421731, -24290679.363561757, -9153683.554102259, -48493318.36830604, -5202405.783753108, -27595489.629774187, -16938520.744192593, -28350966.78631387, -23451877.602328934, -11289225.00637741, -26726332.032424804, -6563654.078627796, -24964609.817616556, -13121703.937002223, -29092021.299793635, -9158491.446912019, -10718805.193027211, -11271324.10806484, -25805902.65688775, -24146614.646446764, -18914702.095272638, -16719339.034224015, -23260342.930616885, -26260714.585561227, -23210941.48170736, -18596578.64109792, -18276191.7209936, -12510161.898263888, -18877270.653752122, -17833819.778648302, -26162952.503823224, -14610089.284646526, -22790541.89303457, -23256516.377433557, -16464203.309118511, -15977532.436249018, -10582570.886686563, -22949509.226185266, -17346603.1287538, -14170822.588065658, -15360336.744446896, -12022572.555448022, -20554141.341228295, -21472717.54410515]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[6284.5, 6284.5, 3275.2, 6284.5, 7090.222222222223, 7090.222222222223, 3275.2, 3275.2, 3275.2, 3275.2, 3275.2, 6284.5, 6284.5, 3275.2, 3275.2, 3275.2, 3275.2]",0:00:01.347693
0,desharnais,CART,random search,,5,1.0,0.4765989290295054,2198.176470588235,15904610.764705881,3988.0585207223176,1029.0,48.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-19536965.766666666,"[-38908220.07692308, -15181218.923076924, -6207436.846153846, -31070979.153846152, -6316973.833333333]","[-38908220.07692308, -15181218.923076924, -6207436.846153846, -31070979.153846152, -6316973.833333333]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[7854.0, 14434.0, 840.0, 23940.0, 14434.0, 2989.0, 3542.0, 2149.0, 1575.0, 1575.0, 3829.0, 5180.0, 14434.0, 3276.0, 2989.0, 3927.0, 2520.0]",0:00:00.002003
1,desharnais,CART,random search,KFold,5,0.9650109206258348,0.26380168009582083,3541.791478129713,22370889.883728296,4729.7875093632165,2499.0,26.0,"{'model__max_depth': 6, 'model__max_features': 0.44555916400773216}",-12644355.037284859,"[-13106956.260192307, -32352698.980235044, -6776498.638181581, -7432482.914188034, -3553138.3936273246]","[-13106956.260192307, -32352698.980235044, -6776498.638181581, -7432482.914188034, -3553138.3936273246]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[4468.333333333333, 7252.0, 2384.6666666666665, 2800.0, 11361.0, 8232.0, 2384.6666666666665, 3829.0, 3451.0, 2153.5384615384614, 3829.0, 4468.333333333333, 7252.0, 3451.0, 4900.0, 2384.6666666666665, 2819.25]",0:00:00.177279
1,desharnais,CART,random search,RepeatedKFold,5,0.71034842928747,0.08678579622811833,3361.6703738985475,27749879.129711125,5267.8154039137635,1481.4210526315787,9.0,"{'model__max_depth': 4, 'model__max_features': 0.7185299851677596}",-12453916.005295329,"[-37011656.91788462, -29800797.35365166, -3670826.846530154, -9417645.396326857, -7881145.154483851]","[-22558169.177350435, -15910028.155982904, -8906841.797552545, -9217404.154723644, -7150053.574416152, -3155335.274787511, -4559418.650470085, -25156761.161515173, -19848029.526241403, -8350524.8290427, -19044548.631219372, -2649376.110670169, -16024862.362264957, -16233789.742147991, -8043596.931044881]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[3914.6153846153848, 8204.933333333332, 3914.6153846153848, 23940.0, 8204.933333333332, 2522.5789473684213, 3914.6153846153848, 2149.0, 945.75, 945.75, 3914.6153846153848, 3914.6153846153848, 8204.933333333332, 2522.5789473684213, 2522.5789473684213, 3914.6153846153848, 2522.5789473684213]",0:00:00.464668
1,desharnais,CART,random search,HoldOut,5,1.0,0.2883017975638765,3130.823529411765,21626403.76470588,4650.419740701465,2128.0,28.999999999999996,"{'model__max_depth': 15, 'model__max_features': 0.8123957592679836}",-22482263.615384616,"[-39548506.84615385, -26539994.53846154, -26418180.384615384, -33597626.461538464, -10465914.083333334]",[-22482263.615384616],"[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[10577.0, 12824.0, 3927.0, 23940.0, 11361.0, 8232.0, 3542.0, 2149.0, 2723.0, 2723.0, 3829.0, 10577.0, 12824.0, 2926.0, 2569.0, 3913.0, 2282.0]",0:00:00.140419
1,desharnais,CART,random search,RepeatedHoldOut,5,1.0,0.26033410117487044,3049.705882352941,22476259.352941178,4740.913345858705,1435.0,26.0,"{'model__max_depth': 12, 'model__max_features': 0.6599641068895281}",-13886594.923076924,"[-37050630.07692308, -34977844.615384616, -6336902.384615385, -10203654.461538462, -3403825.8333333335]","[-22932924.692307692, -6208137.923076923, -16691688.076923076, -11310861.846153846, -12289362.076923076]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[3983.0, 9100.0, 3913.0, 23940.0, 9100.0, 2282.0, 6405.0, 2149.0, 1575.0, 1575.0, 3829.0, 7854.0, 10577.0, 2569.0, 2282.0, 6405.0, 2583.0]",0:00:00.185153
