Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,kitchenham,CART,grid search,,5,1.0,-1.216760049944369,1928.5862068965516,7227157.206896552,2688.337256911147,1209.0,-122.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-245450209.5747036,"[-22821295.56521739, -28542897.95652174, -562883877.2608696, -604258744.1818181, -8744232.909090908]","[-22821295.56521739, -28542897.95652174, -562883877.2608696, -604258744.1818181, -8744232.909090908]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[652.0, 989.0, 5094.0, 652.0, 5094.0, 655.0, 380.0, 2223.0, 1425.0, 1122.0, 1304.0, 2203.0, 1432.0, 1455.0, 3555.0, 1584.0, 580.0, 1173.0, 1431.0, 2663.0, 1173.0, 5094.0, 570.0, 1173.0, 1113.0, 3504.0, 5359.0, 1650.0, 302.0]",0:00:00.003000
1,kitchenham,CART,grid search,KFold,5,0.9437998104680146,-0.17109624462719664,1442.669736560291,3818048.1755521237,1953.9826446394359,1210.6666666666667,-17.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-95955240.80496718,"[-15574863.767966084, -9909835.307053138, -446588930.78152174, -2923332.3923208653, -4779241.775974026]","[-15574863.767966084, -9909835.307053138, -446588930.78152174, -2923332.3923208653, -4779241.775974026]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[1960.6666666666667, 3471.8571428571427, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 3527.521739130435, 3527.521739130435, 3527.521739130435, 1960.6666666666667]",0:00:00.412980
1,kitchenham,CART,grid search,RepeatedKFold,5,0.9421473145372287,-0.06049363270564734,1416.312852664577,3457457.743642063,1859.424035458847,1519.2363636363634,-6.0,"{'model__max_depth': 2, 'model__max_features': None}",-143046240.69714794,"[-16260546.725843973, -9909835.307053138, -446588930.78152174, -591520244.24568, -5348888.801208242]","[-7132471.534708497, -557200012.9565217, -453341439.34290636, -5150876.198493856, -4113363.2494591954, -2529156.113782653, -6821677.957784342, -492928586.03692245, -13938098.966939807, -4564409.574675326, -11671571.671860289, -19501562.713593718, -3888456.5074919723, -558796693.2140512, -4115234.4180274145]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634, 2393.2363636363634]",0:00:00.495513
1,kitchenham,CART,grid search,HoldOut,5,0.939281523853878,-0.08363967207106215,1451.3205049261085,3532919.2556875665,1879.606143767243,1494.6696428571427,-8.0,"{'model__max_depth': 1, 'model__max_features': None}",-4494695.959046673,"[-16139897.68962527, -7075538.475004491, -482344923.8872174, -589811159.2378452, -5044984.2432210995]",[-4494695.959046673],"[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573]",0:00:00.064539
1,kitchenham,CART,grid search,RepeatedHoldOut,5,0.977315810939566,-0.7126240101866257,1643.0448908744004,5583555.585204165,2362.95484197311,1041.6,-71.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-9682588.39289977,"[-21737981.18623889, -9294654.003152061, -539486621.2272053, -20945542.992057767, -7974319.576608401]","[-6339077.373335606, -3224254.6918560513, -11952367.453499217, -10681584.832132163, -16215657.61367582]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[486.5, 1877.6666666666667, 1087.157894736842, 1791.6, 1087.157894736842, 1791.6, 1087.157894736842, 2074.733333333333, 2074.733333333333, 2411.72, 2411.72, 2074.733333333333, 1791.6, 2411.72, 1791.6, 2411.72, 1087.157894736842, 2074.733333333333, 2074.733333333333, 8600.0, 2411.72, 1087.157894736842, 1087.157894736842, 2074.733333333333, 1791.6, 4203.692307692308, 4203.692307692308, 4203.692307692308, 2074.733333333333]",0:00:00.281626
1,kitchenham,CART,grid search,Bootstrap,5,0.939281523853878,-0.08363967207106215,1451.3205049261085,3532919.2556875665,1879.606143767243,1494.6696428571427,-8.0,"{'model__max_depth': 1, 'model__max_features': None}",-104503583.76990058,"[-16139897.68962527, -7075538.475004491, -482344923.8872174, -589811159.2378452, -5044984.2432210995]","[-3841180.4935728465, -298636155.54942006, -263692681.64155358, -11829469.570673091, -9544660.68570248, -5911605.417269815, -306703973.3328753, -287278296.98936296, -3190802.036880123, -339761536.07261175, -364624552.42838544, -300296855.02848077, -326835857.33674866, -3147480.032369146, -3510022.1503305784, -7663534.57800245, -7627336.018703626, -4609279.548429752, -298047005.55311245, -13398374.08046019, -304384887.80404836, -291186337.6952482, -5240024.605286651, -292601887.5047717, -7376593.094010906, -308777237.8800554, -3216106.1956357905, -10172478.452376535, -9701972.183371583, -290629940.0778452, -3996289.238692495, -9760230.80209219, -240614155.61372986, -9636844.832956105, -23158871.741550636, -6912730.3873933265, -268245358.520285, -282875953.45421225, -333114656.6970564, -2562778.5636717808, -7631929.204497012, -232791928.90232736, -4077609.646470214, -234946760.77348888, -8184358.175990959, -283887424.98407775, -4645755.352809917, -41205218.93592546, -298259088.2397017, -7281443.292372953]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573]",0:00:01.404283
0,kitchenham,CART,random search,,5,1.0,-1.216760049944369,1928.5862068965516,7227157.206896552,2688.337256911147,1209.0,-122.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-245450209.5747036,"[-22821295.56521739, -28542897.95652174, -562883877.2608696, -604258744.1818181, -8744232.909090908]","[-22821295.56521739, -28542897.95652174, -562883877.2608696, -604258744.1818181, -8744232.909090908]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[652.0, 989.0, 5094.0, 652.0, 5094.0, 655.0, 380.0, 2223.0, 1425.0, 1122.0, 1304.0, 2203.0, 1432.0, 1455.0, 3555.0, 1584.0, 580.0, 1173.0, 1431.0, 2663.0, 1173.0, 5094.0, 570.0, 1173.0, 1113.0, 3504.0, 5359.0, 1650.0, 302.0]",0:00:00.002000
1,kitchenham,CART,random search,KFold,5,0.9437998104680146,-0.17109624462719664,1442.669736560291,3818048.1755521237,1953.9826446394359,1210.6666666666667,-17.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-95955240.80496718,"[-15574863.767966084, -9909835.307053138, -446588930.78152174, -2923332.3923208653, -4779241.775974026]","[-15574863.767966084, -9909835.307053138, -446588930.78152174, -2923332.3923208653, -4779241.775974026]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[1960.6666666666667, 3471.8571428571427, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 1960.6666666666667, 3527.521739130435, 3527.521739130435, 3527.521739130435, 1960.6666666666667]",0:00:00.212930
1,kitchenham,CART,random search,RepeatedKFold,5,0.9426738064672676,-0.02700762242001531,1360.865763546798,3348285.503474666,1829.8320970719324,1487.625,-3.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-143165382.39858165,"[-17955625.0977506, -9909835.307053138, -446588930.78152174, -3384087.0393879623, -6132752.001062422]","[-4814227.80696561, -556856055.2904812, -453341439.34290636, -5682188.374626536, -3252002.924344272, -2540351.3985735555, -5434776.372716653, -492928586.03692245, -13129464.404270707, -3720608.0394973336, -12035591.099202884, -14429917.52413063, -4053772.3039344978, -570619233.9986589, -4642521.061493508]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2250.625, 3471.8571428571427, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625]",0:00:00.585773
1,kitchenham,CART,random search,HoldOut,5,0.9426738064672676,-0.02700762242001531,1360.865763546798,3348285.503474666,1829.8320970719324,1487.625,-3.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-4814227.80696561,"[-17955625.0977506, -9909835.307053138, -446588930.78152174, -3384087.0393879623, -6132752.001062422]",[-4814227.80696561],"[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2250.625, 3471.8571428571427, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625]",0:00:00.068385
