Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,miyazaki94,CART,grid search,,5,1.0,-3.1091979429928873,18.000000000000004,761.9711111111111,27.603824211712244,8.5,-311.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-844.1509523809524,"[-1136.8042857142857, -313.0414285714286, -1049.5057142857142, -907.3849999999999, -814.0183333333334]","[-1136.8042857142857, -313.0414285714286, -1049.5057142857142, -907.3849999999999, -814.0183333333334]","[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[89.5, 48.0, 34.3, 37.0, 48.0, 48.0, 85.0, 36.0, 27.5]",0:00:00.002000
1,miyazaki94,CART,grid search,KFold,5,0.9474059495801451,-3.3526526177306346,19.625925925925927,807.1150617283951,28.40977053283597,15.350000000000001,-335.0,"{'model__max_depth': 5, 'model__max_features': 0.7}",-499.00209540978284,"[-667.7800571428571, -930.05623015873, -350.1646064139942, -325.71583333333336, -221.29374999999996]","[-667.7800571428571, -930.05623015873, -350.1646064139942, -325.71583333333336, -221.29374999999996]","[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[89.5, 31.5, 60.416666666666664, 34.3, 31.5, 60.416666666666664, 39.0, 39.95, 43.55]",0:00:00.277751
1,miyazaki94,CART,grid search,RepeatedKFold,5,0.517721657811419,-2.588007416393031,23.15740740740741,665.3264300411524,25.79392234696291,19.70000000000001,-259.0,"{'model__max_depth': 1, 'model__max_features': None}",-543.2480853343071,"[-1081.5906249999996, -305.9354476190476, -550.2522359896337, -674.3310888888889, -398.95321398381844]","[-420.0178683035714, -571.3632231404958, -556.730126984127, -879.3513687960391, -211.81883146157872, -590.256582710219, -889.1462030288305, -335.77497190082653, -356.1563833333333, -260.5504594855694, -655.9890955198649, -533.3265185360095, -287.2272075560803, -1148.8086826666665, -452.20375659139404]","[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[62.00000000000001, 62.00000000000001, 21.62777777777778, 21.62777777777778, 62.00000000000001, 62.00000000000001, 62.00000000000001, 62.00000000000001, 21.62777777777778]",0:00:00.418748
1,miyazaki94,CART,grid search,HoldOut,5,0.7618037546245536,-4.824442253319948,22.86375291375292,1080.0299223678421,32.863808701485624,13.123076923076937,-482.0,"{'model__max_depth': 2, 'model__max_features': None}",-260.93262896825394,"[-573.6785764585067, -276.5700857142857, -374.05558134110794, -1132.1511458333332, -161.33663935185191]",[-260.93262896825394],"[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[104.75, 55.423076923076934, 30.181818181818187, 30.181818181818187, 55.423076923076934, 55.423076923076934, 55.423076923076934, 55.423076923076934, 30.181818181818187]",0:00:00.052509
1,miyazaki94,CART,grid search,RepeatedHoldOut,5,0.7618037546245536,-4.824442253319948,22.86375291375292,1080.0299223678421,32.863808701485624,13.123076923076937,-482.0,"{'model__max_depth': 2, 'model__max_features': None}",-565.3530107697267,"[-573.6785764585067, -276.5700857142857, -374.05558134110794, -1132.1511458333332, -161.33663935185191]","[-260.93262896825394, -581.7739866863906, -838.5343857142858, -637.0610739964579, -508.4629784832451]","[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[104.75, 55.423076923076934, 30.181818181818187, 30.181818181818187, 55.423076923076934, 55.423076923076934, 55.423076923076934, 55.423076923076934, 30.181818181818187]",0:00:00.152080
1,miyazaki94,CART,grid search,Bootstrap,5,0.7618037546245536,-4.824442253319948,22.86375291375292,1080.0299223678421,32.863808701485624,13.123076923076937,-482.0,"{'model__max_depth': 2, 'model__max_features': None}",-636.6462294480806,"[-573.6785764585067, -276.5700857142857, -374.05558134110794, -1132.1511458333332, -161.33663935185191]","[-1240.051452742299, -516.2212452777778, -482.498993590325, -372.5196706884862, -527.238777043269, -235.03569173553717, -1156.3906733672075, -684.920183678501, -561.8952136752138, -660.9362142403628, -670.211034533648, -1056.5430025, -1108.7164512906847, -462.58719373219384, -454.0854249807462, -555.2470154269971, -191.06263629317112, -542.7001267408938, -720.8058224111866, -477.1007822314049, -921.5274874497564, -958.081272268136, -797.2950187651679, -984.3957310870948, -525.9770770919068, -628.4227274376417, -581.6777602413019, -797.4286138133032, -249.49383862070042, -207.10413161057693, -1161.6268611111113, -1446.143963341346, -822.2462227743866, -1056.4380019895932, -305.35514780184855, -1454.774847425302, -357.77622686380846, -516.8485672144463, -502.7606236734693, -292.177230625, -363.5205272640305, -1073.9740660357636, -1237.599730451367, -1033.7528600823043, -981.100091057256, -1218.2974769230768, -763.7610305555553, -507.8401552514946, -556.0792896553343, -498.82817199211047]","[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[104.75, 55.423076923076934, 30.181818181818187, 30.181818181818187, 55.423076923076934, 55.423076923076934, 55.423076923076934, 55.423076923076934, 30.181818181818187]",0:00:01.077376
0,miyazaki94,CART,random search,,5,1.0,-3.1091979429928873,18.000000000000004,761.9711111111111,27.603824211712244,8.5,-311.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-844.1509523809524,"[-1136.8042857142857, -313.0414285714286, -1049.5057142857142, -907.3849999999999, -814.0183333333334]","[-1136.8042857142857, -313.0414285714286, -1049.5057142857142, -907.3849999999999, -814.0183333333334]","[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[89.5, 48.0, 34.3, 37.0, 48.0, 48.0, 85.0, 36.0, 27.5]",0:00:00.002000
1,miyazaki94,CART,random search,KFold,5,0.6899223395797587,-4.577625260654547,19.715185185185184,1034.2624950617285,32.159951726669746,10.066666666666663,-458.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-549.2103613095453,"[-573.6785764585064, -435.8745036934807, -354.6374901613538, -1038.4528009259259, -343.40843530845933]","[-573.6785764585064, -435.8745036934807, -354.6374901613538, -1038.4528009259259, -343.40843530845933]","[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[104.75, 32.233333333333334, 50.826666666666675, 32.233333333333334, 32.233333333333334, 50.826666666666675, 32.233333333333334, 50.826666666666675, 50.826666666666675]",0:00:00.252996
1,miyazaki94,CART,random search,RepeatedKFold,5,0.6899223395797587,-4.577625260654547,19.715185185185184,1034.2624950617285,32.159951726669746,10.066666666666663,-458.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-588.04310595305,"[-573.6785764585064, -435.8745036934807, -354.6374901613538, -1038.4528009259259, -343.40843530845933]","[-312.4843861607142, -586.047594169096, -404.03956349206356, -916.8745764462809, -186.0762, -671.1181158730159, -1016.8939571428571, -165.59578807556082, -470.80556712962965, -299.6631380208333, -985.8083589138135, -396.20654885361535, -618.5765004226542, -611.515361111111, -1178.9409334845052]","[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[104.75, 32.233333333333334, 50.826666666666675, 32.233333333333334, 32.233333333333334, 50.826666666666675, 32.233333333333334, 50.826666666666675, 50.826666666666675]",0:00:00.385502
1,miyazaki94,CART,random search,HoldOut,5,1.0,-5.235144355347713,26.444444444444443,1156.1866666666667,34.002744987231054,22.299999999999997,-524.0,"{'model__max_depth': 21, 'model__max_features': 0.978936896513396}",-232.3142857142857,"[-1466.1571428571426, -455.4971428571428, -1156.0242857142857, -517.9483333333333, -654.2733333333333]",[-232.3142857142857],"[18.0, 42.3, 37.2, 37.0, 31.5, 39.5, 67.3, 43.8, 58.9]","[89.5, 34.3, 59.5, 34.3, 31.5, 59.1, 31.5, 85.0, 22.0]",0:00:00.056078
