Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,nasa93,CART,grid search,,5,1.0,-0.04545980553923146,502.12631578947367,532561.5578947369,729.7681535218818,278.5999999999999,-5.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-1203919.8613904763,"[-2703210.5793333333, -805342.5606666667, -483744.232, -900211.6806666666, -1127090.2542857144]","[-2703210.5793333333, -805342.5606666667, -483744.232, -900211.6806666666, -1127090.2542857144]","[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[1248.0, 1181.0, 576.0, 1181.0, 1924.5, 72.0, 48.0, 1248.0, 90.0, 24.0, 360.0, 300.0, 36.0, 192.0, 25.2, 756.0, 90.0, 1181.0, 120.0]",0:00:00.002984
1,nasa93,CART,grid search,KFold,5,0.9609688324911343,-4.0241981937019995,636.2941186299081,2559347.382876933,1599.79604414967,203.06285714285718,-401.99999999999994,"{'model__max_depth': 5, 'model__max_features': 0.7}",-826791.2757465172,"[-1708578.9108306877, -787036.8809387755, -444406.95082673867, -1077085.9271517333, -116847.70898465172]","[-1708578.9108306877, -787036.8809387755, -444406.95082673867, -1077085.9271517333, -116847.70898465172]","[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[353.0628571428572, 353.0628571428572, 353.0628571428572, 353.0628571428572, 8211.0, 353.0628571428572, 353.0628571428572, 353.0628571428572, 353.0628571428572, 353.0628571428572, 353.0628571428572, 353.0628571428572, 370.0, 2400.0, 88.05555555555557, 353.0628571428572, 353.0628571428572, 353.0628571428572, 88.05555555555557]",0:00:00.326988
1,nasa93,CART,grid search,RepeatedKFold,5,0.5062589519817992,-0.26351491760927126,510.3952528379773,643639.7357219895,802.2716096946156,314.7970588235294,-26.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-1035473.1005541562,"[-1723003.2121334083, -1703204.4251283475, -1207394.8893008078, -422182.1414214876, -962659.1114880756]","[-2428097.6549847634, -193464.9256753544, -701004.2583193501, -390010.9575308642, -688782.0938310862, -126557.27964400144, -1884745.446334766, -2047765.243440382, -1526744.731287627, -418885.79681559873, -2274909.0094886622, -426220.39953086426, -180964.3903429355, -1298178.2434246948, -945766.077661393]","[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 3549.0333333333333, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294]",0:00:00.523909
1,nasa93,CART,grid search,HoldOut,5,0.9857418809289616,-0.04824698701886265,499.83008310249306,533981.3596920542,730.7402819689456,223.54000000000002,-5.0,"{'model__max_depth': 5, 'model__max_features': None}",-1340299.855940529,"[-1511860.5757633601, -800982.8294043879, -467860.02958931134, -916701.2555619924, -1133159.047529186]",[-1340299.855940529],"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[1104.0, 1104.0, 376.46, 1104.0, 1924.5, 140.3684210526316, 140.3684210526316, 1104.0, 99.15, 140.3684210526316, 140.3684210526316, 376.46, 140.3684210526316, 140.3684210526316, 17.000000000000004, 376.46, 99.15, 1104.0, 140.3684210526316]",0:00:00.066199
1,nasa93,CART,grid search,RepeatedHoldOut,5,0.9990671774950415,-4.82234517341783,841.1639097744361,2965926.762298604,1722.1866223782497,239.14285714285717,-482.0,"{'model__max_depth': 10, 'model__max_features': 0.3}",-1147750.220022071,"[-1705514.4661481483, -714905.8833333333, -930578.1653333333, -1159339.0726666667, -119914.80608571428]","[-1428381.3626666667, -312107.70133333333, -2119596.1445185184, -1839515.9475918368, -39149.944]","[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[278.0, 2400.0, 576.0, 973.0, 8211.0, 480.0, 48.0, 973.0, 204.85714285714283, 24.0, 240.0, 576.0, 93.71428571428571, 93.71428571428571, 31.2, 756.0, 212.5, 973.0, 55.0]",0:00:00.269559
1,nasa93,CART,grid search,Bootstrap,5,0.5062589519817992,-0.26351491760927126,510.3952528379773,643639.7357219895,802.2716096946156,314.7970588235294,-26.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-1169082.290594114,"[-1723003.2121334083, -1703204.4251283475, -1207394.8893008078, -422182.1414214876, -962659.1114880756]","[-642884.982453261, -1101053.6548781847, -521402.63715417124, -1530081.4305330962, -2878886.0605836916, -1398121.535916667, -574634.7244417139, -489870.6289209492, -1391629.2242749454, -1232754.7267655516, -1357015.8536737685, -2112598.9992315746, -831479.6980820253, -657636.3990786164, -1878434.1031633918, -1443341.8907709091, -882931.7181262712, -281733.53969707165, -705736.4953085721, -343750.3179884943, -2279373.0306542967, -3347133.4753292417, -1398271.057602499, -1020393.4647721542, -1361209.1885938975, -2398257.2618555715, -415950.94151246984, -531052.5747455067, -869574.7231288704, -373081.73463514185, -1165828.566926835, -236796.70765873019, -1613858.5875854208, -126205.90799453034, -125900.4790038629, -1448801.1742997682, -679055.0539632146, -1069030.6432194551, -1330197.5637516128, -2477292.1666420107, -1376258.612255739, -978465.4350508653, -1142788.2375468493, -1177195.2188464517, -185973.0325723839, -547134.1630864198, -1106417.4302282236, -623898.2796766037, -376992.3020312041, -2318674.7497954215]","[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 3549.0333333333333, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294, 386.7970588235294]",0:00:01.516373
0,nasa93,CART,random search,,5,1.0,-0.04545980553923146,502.12631578947367,532561.5578947369,729.7681535218818,278.5999999999999,-5.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-1203919.8613904763,"[-2703210.5793333333, -805342.5606666667, -483744.232, -900211.6806666666, -1127090.2542857144]","[-2703210.5793333333, -805342.5606666667, -483744.232, -900211.6806666666, -1127090.2542857144]","[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[1248.0, 1181.0, 576.0, 1181.0, 1924.5, 72.0, 48.0, 1248.0, 90.0, 24.0, 360.0, 300.0, 36.0, 192.0, 25.2, 756.0, 90.0, 1181.0, 120.0]",0:00:00.002000
1,nasa93,CART,random search,KFold,5,0.9516176768015249,-0.6754961859288984,532.0795321637426,853504.701278063,923.8531816679872,237.57142857142856,-68.0,"{'model__max_depth': 4, 'model__max_features': 0.959541228979397}",-812176.5275415804,"[-1714672.4304065583, -889309.6493283492, -467774.5176681783, -860671.1469763414, -128454.89332847425]","[-1714672.4304065583, -889309.6493283492, -467774.5176681783, -860671.1469763414, -128454.89332847425]","[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[509.15555555555557, 509.15555555555557, 509.15555555555557, 509.15555555555557, 4369.1, 122.42857142857143, 122.42857142857143, 509.15555555555557, 122.42857142857143, 122.42857142857143, 122.42857142857143, 509.15555555555557, 122.42857142857143, 122.42857142857143, 122.42857142857143, 509.15555555555557, 122.42857142857143, 509.15555555555557, 122.42857142857143]",0:00:00.221623
1,nasa93,CART,random search,RepeatedKFold,5,0.5062589519817992,-0.26351491760927126,510.3952528379773,643639.7357219895,802.2716096946156,314.7970588235295,-26.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-1035473.1005541562,"[-1723003.2121334083, -1703204.4251283472, -1207394.8893008078, -422182.1414214876, -962659.1114880756]","[-2428097.6549847634, -193464.9256753544, -701004.2583193502, -390010.9575308642, -688782.0938310862, -126557.27964400145, -1884745.446334766, -2047765.243440382, -1526744.731287627, -418885.7968155987, -2274909.0094886622, -426220.39953086426, -180964.3903429355, -1298178.2434246948, -945766.077661393]","[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 3549.0333333333333, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295, 386.7970588235295]",0:00:00.610267
1,nasa93,CART,random search,HoldOut,5,0.9276851488875891,-4.022267654073467,652.7672514619883,2558363.9579889537,1599.4886551610655,223.93888888888887,-401.99999999999994,"{'model__max_depth': 4, 'model__max_features': 0.7185299851677596}",-1369650.0265323457,"[-1557547.3721453624, -804806.0870727978, -484846.97986092215, -1040802.1382918109, -1132773.0115527697]",[-1369650.0265323457],"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[376.06111111111113, 376.06111111111113, 376.06111111111113, 376.06111111111113, 8211.0, 376.06111111111113, 376.06111111111113, 376.06111111111113, 376.06111111111113, 376.06111111111113, 376.06111111111113, 376.06111111111113, 545.0, 2400.0, 88.05555555555556, 376.06111111111113, 376.06111111111113, 376.06111111111113, 88.05555555555556]",0:00:00.068916
