Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,3,1.0,0.5090191424953306,6798.461538461538,147004853.69230768,12124.55581422708,2271.0,51.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-49655896.068627454,"[-30075436.70588235, -66071820.4375, -52820431.0625]","[-30075436.70588235, -66071820.4375, -52820431.0625]",-49655896.068627454,-49655896.068627454,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[900.0, 11023.0, 21272.0, 25910.0, 5100.0, 2565.0, 21272.0, 3240.0, 11039.0, 1651.0, 963.0, 25910.0, 2826.0]",0:00:00.002002
1,maxwell,CART,grid search,KFold,3,1.0,0.3589701859940255,9645.23076923077,191931095.84615386,13853.91987295126,6567.0,36.0,"{'model__max_depth': None, 'model__max_features': 0.3}",-39105684.93504902,"[-48316011.11764706, -52951089.6875, -16049954.0]","[-48316011.11764706, -52951089.6875, -16049954.0]",-39105684.93504902,-39105684.93504902,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[1100.0, 4224.0, 18500.0, 18500.0, 11023.0, 2565.0, 2565.0, 2330.0, 11023.0, 21272.0, 11023.0, 25910.0, 18500.0]",0:00:00.238882
1,maxwell,CART,grid search,RepeatedKFold,3,0.9999858955614346,0.5403898688872395,6164.307692307692,137612126.92307693,11730.819533309552,2193.0,54.0,"{'model__max_depth': 10, 'model__max_features': None}",-29061353.46384804,"[-30075436.70588235, -47632648.53125, -52820431.0625]","[-15886093.647058824, -54214077.125, -16931108.3125, -30519723.29411765, -28963549.75, -5376815.78125, -69987221.76470588, -13777526.75, -25896064.75]",-43509505.43321078,-29061353.46384804,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[900.0, 11023.0, 21272.0, 39479.0, 5100.0, 2565.0, 21272.0, 3240.0, 13700.0, 1651.0, 963.0, 25910.0, 2826.0]",0:00:00.266850
1,maxwell,CART,grid search,HoldOut,3,1.0,0.3958493402093286,9018.538461538461,180889087.6153846,13449.501389099323,3865.0,40.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-4220546.2,"[-195951478.5882353, -44484962.125, -50154556.4375]",[-4220546.2],-96863665.71691175,-4220546.2,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[1651.0, 9369.0, 18500.0, 39479.0, 2826.0, 9700.0, 3240.0, 11023.0, 25910.0, 21272.0, 3440.0, 25910.0, 21272.0]",0:00:00.051474
1,maxwell,CART,grid search,RepeatedHoldOut,3,1.0,-0.042612970206511,10602.615384615385,312169333.6923077,17668.314398728242,4505.0,-4.0,"{'model__max_depth': None, 'model__max_features': 1}",-44179270.733333334,"[-60974457.64705882, -124399915.75, -9658295.25]","[-28958545.2, -14193630.8, -89385636.2]",-65010889.549019605,-44179270.733333334,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[1060.0, 9125.0, 11039.0, 7451.0, 9125.0, 4047.0, 4047.0, 21272.0, 4300.0, 3600.0, 15052.0, 14000.0, 9125.0]",0:00:00.110899
1,maxwell,CART,grid search,Bootstrap,3,0.9759609926674127,0.26674506900765327,7259.153846153846,219544269.8062174,14817.026348300033,1844.0,27.0,"{'model__max_depth': 5, 'model__max_features': None}",-42345983.83471604,"[-29900283.168054204, -49168478.0672449, -59605147.685138896]","[-63769815.962062456, -50993722.79414072, -39333477.98533163, -54265030.666095376, -180636594.74444446, -48429944.096109085, -27368785.481867287, -48664701.46337449, -55192773.60737166, -30582003.900935676, -65588759.99215535, -346006000.34190243, -21308124.175481856, -52483137.082530975, -67425753.74317253, -55010471.08933583, -89534885.34611112, -49694511.63457006, -46955097.71574075, -39975764.06419359, -28624137.518670864, -22988496.497139297, -77992766.95447369, -18648084.898012698, -24954381.07222222, -39903042.194397256, -35615567.272126734, -8499021.241052633, -121093814.42746915, -38464939.578146264, -22090099.72319015, -18683280.51785714, -28052147.7007443, -40169033.41085459, -9552378.47326597, -60080472.80320833, -81608172.73172516, -72173969.82348618, -32168715.590125002, -56395589.4375, -20419249.76135931, -58685505.18635835, -70779552.34302236, -8460830.092084907, -18475020.066529695, -73209163.46566358, -51368761.889974006, -22302605.322287202, -48838711.071269296, -34502245.07074218]",-46224636.30681267,-53560382.240437716,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[1299.7, 7492.636363636364, 15052.0, 25910.0, 4482.0, 7492.636363636364, 21272.0, 3420.0, 13700.0, 1299.7, 2640.0, 14000.0, 2640.0]",0:00:01.074458
0,maxwell,CART,random search,,3,1.0,0.5090191424953306,6798.461538461538,147004853.69230768,12124.55581422708,2271.0,51.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-49655896.068627454,"[-30075436.70588235, -66071820.4375, -52820431.0625]","[-30075436.70588235, -66071820.4375, -52820431.0625]",-49655896.068627454,-49655896.068627454,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[900.0, 11023.0, 21272.0, 25910.0, 5100.0, 2565.0, 21272.0, 3240.0, 11039.0, 1651.0, 963.0, 25910.0, 2826.0]",0:00:00.000993
1,maxwell,CART,random search,KFold,3,0.9493794518135972,0.5236612131345859,6669.7692307692305,142620863.1167572,11942.39771221664,2330.0,52.0,"{'model__max_depth': 4, 'model__max_features': 0.959541228979397}",-33101648.439716946,"[-28240314.55115196, -49468637.4720805, -21595993.295918368]","[-28240314.55115196, -49468637.4720805, -21595993.295918368]",-33101648.439716946,-33101648.439716946,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[1802.3125, 8242.923076923076, 12376.0, 25910.0, 4128.0, 8242.923076923076, 21272.0, 4128.0, 4186.0, 1802.3125, 1802.3125, 25910.0, 1802.3125]",0:00:00.111618
1,maxwell,CART,random search,RepeatedKFold,3,1.0,0.5436076480985952,6424.0,136648689.84615386,11689.683051569613,2271.0,54.0,"{'model__max_depth': 21, 'model__max_features': 0.978936896513396}",-36491781.532271236,"[-23765252.29411765, -69595111.4375, -19294204.9375]","[-20756274.88235294, -56555051.0, -19248521.5, -65747739.52941176, -32362010.5625, -18298303.5625, -67426153.94117647, -15448948.9375, -32583029.875]",-37551522.88970588,-36491781.532271236,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[1060.0, 11023.0, 21272.0, 25910.0, 5100.0, 2565.0, 15052.0, 3600.0, 13700.0, 1651.0, 2330.0, 25910.0, 4300.0]",0:00:00.334395
1,maxwell,CART,random search,HoldOut,3,1.0,0.0432445088634682,9795.153846153846,286462697.7692308,16925.208943148406,4696.0,4.0,"{'model__max_depth': 24, 'model__max_features': 0.755621931064197}",-4110641.0,"[-108763049.64705883, -71333835.75, -21338561.25]",[-4110641.0],-67145148.88235295,-4110641.0,"[845.0, 8752.0, 10447.0, 37286.0, 4456.0, 5931.0, 7105.0, 1798.0, 11900.0, 5279.0, 796.0, 63694.0, 4620.0]","[1651.0, 7871.0, 583.0, 14000.0, 9369.0, 3600.0, 5100.0, 8117.0, 25910.0, 583.0, 2330.0, 11039.0, 583.0]",0:00:00.054772
